L,method,budget,comparator,n,ppl_method,ppl_comparator,delta_mean,delta_sd,ci_lo,ci_hi,t_crit,t,p,d_z,primary,p_holm,sig
4096,tova,0.2,snapkv,20,6.5847502,6.578421799999999,0.00632840000000019,0.10537226852120654,-0.04298733970507159,0.055644139705071975,2.093024054408263,0.268585516614596,0.7911432850282825,0.060057547292213576,False,,
4096,tova,0.2,sink_window,20,6.5847502,6.873289849999999,-0.28853965000000004,0.2790958502829932,-0.419160528704455,-0.15791877129554505,2.093024054408263,-4.62346015499545,0.00018535839389404487,-1.033837119783154,False,,
4096,tova,0.5,full,20,6.349057749999999,6.23913835,0.10991939999999992,0.14083114216281903,0.04400839659523029,0.17583040340476955,2.093024054408263,3.4905241365127653,0.0024474061039616085,0.78050492463463,False,,
4096,tova,0.5,snapkv,20,6.349057749999999,6.33803015,0.011027599999999915,0.0419437224616134,-0.008602666370913503,0.030657866370913334,2.093024054408263,1.1757880217352545,0.2542029535196348,0.26291419437300295,False,,
4096,tova,0.5,sink_window,20,6.349057749999999,6.579694600000001,-0.23063684999999995,0.20292130080539908,-0.3256069421463947,-0.1356667578536052,2.093024054408263,-5.082952579837795,6.607821765230197e-05,-1.1365827494925238,False,,
8192,normkv,0.05,full,20,7.71305945,6.1526262,1.5604332499999998,1.0298606296437893,1.0784436387220275,2.042422861277972,2.093024054408263,6.776130130458115,1.797460736593168e-06,1.5151887596088862,True,3.469555048651908e-06,***
8192,normkv,0.05,snapkv,20,7.71305945,6.8623186,0.8507408499999997,0.47761693348333967,0.627209244379697,1.0742724556203023,2.093024054408263,7.965858153152387,1.7857671563824795e-07,1.7812200329569667,True,3.571534312764959e-07,***
8192,normkv,0.05,sink_window,20,7.71305945,7.5205639999999985,0.19249544999999996,0.8137191833077287,-0.18833685056826016,0.5733277505682601,2.093024054408263,1.0579396931745497,0.3033487510314309,0.23656250700335632,True,0.6066975020628618,ns
8192,normkv,0.1,full,20,7.454939949999999,6.1526262,1.3023137500000002,0.9330904268847617,0.8656139877254285,1.7390135122745718,2.093024054408263,6.2417574741495265,5.394788776083587e-06,1.3956994011265729,False,,
8192,normkv,0.1,snapkv,20,7.454939949999999,6.552376150000001,0.9025638000000002,0.5681810741467807,0.6366468718441682,1.1684807281558323,2.093024054408263,7.104052220891669,9.331945327619739e-07,1.588514368162212,False,,
8192,normkv,0.1,sink_window,20,7.454939949999999,7.09277975,0.36216020000000004,0.9291893398879081,-0.07271379735934674,0.7970341973593469,2.093024054408263,1.7430566434234185,0.09748501760195383,0.3897593143327375,False,,
8192,normkv,0.2,full,20,7.0905653,6.1526262,0.9379391,0.767388163776044,0.5787903840366906,1.2970878159633095,2.093024054408263,5.466061858538261,2.8377532875407123e-05,1.222248588491039,False,,
8192,normkv,0.2,snapkv,20,7.0905653,6.3150167999999995,0.7755484999999999,0.5934420676055477,0.4978090629849857,1.053287937015014,2.093024054408263,5.844476691196347,1.2510326586404706e-05,1.3068647174428079,False,,
8192,normkv,0.2,sink_window,20,7.0905653,6.531760449999998,0.5588048500000002,0.8332815914408133,0.16881706060119056,0.94879263939881,2.093024054408263,2.999047725501868,0.0073772619759924895,0.6706074581988306,False,,
8192,normkv,0.5,full,20,6.572655849999999,6.1526262,0.4200296499999999,0.3736756767935017,0.2451440499319313,0.5949152500680686,2.093024054408263,5.0268985020636885,7.486782385427446e-05,1.1240486766606275,False,,
8192,normkv,0.5,snapkv,20,6.572655849999999,6.18583815,0.3868177,0.33851693999081844,0.228386895267113,0.545248504732887,2.093024054408263,5.110235677562136,6.218785456777366e-05,1.1426834356073632,False,,
8192,normkv,0.5,sink_window,20,6.572655849999999,6.3434271,0.22922874999999993,0.4930372124250679,-0.0015197683160450004,0.45997726831604485,2.093024054408263,2.079238866681714,0.05138024321644934,0.4649319447359935,False,,
8192,pyramidkv,0.05,full,20,7.0192567,6.1526262,0.8666305000000001,0.7583601955309472,0.5117070032360973,1.2215539967639029,2.093024054408263,5.1106182017316915,6.213500119618493e-05,1.1427689706119795,True,0.00012427000239236986,***
8192,pyramidkv,0.05,snapkv,20,7.0192567,6.8623186,0.1569380999999999,0.11448006998411733,0.10335977799947355,0.21051642200052628,2.093024054408263,6.1307485208271775,6.81037966420118e-06,1.3708770445525855,True,1.362075932840236e-05,***
8192,pyramidkv,0.05,sink_window,20,7.0192567,7.5205639999999985,-0.5013072999999999,0.6671385522088148,-0.8135377535118461,-0.1890768464881537,2.093024054408263,-3.360492949194817,0.003285084897400866,-0.7514290672308357,True,0.003285084897400866,**
8192,pyramidkv,0.1,full,20,6.6673873,6.1526262,0.5147610999999999,0.545049425018058,0.25967011688066055,0.7698520831193392,2.093024054408263,4.223619946886218,0.0004598609381038464,0.9444301312361634,False,,
8192,pyramidkv,0.1,snapkv,20,6.6673873,6.552376150000001,0.11501114999999998,0.10109134402075998,0.06769894463393314,0.16232335536606682,2.093024054408263,5.087928191312053,6.535068004716699e-05,1.1376953300411303,False,,
8192,pyramidkv,0.1,sink_window,20,6.6673873,7.09277975,-0.4253924500000002,0.6308327736568773,-0.7206312761132487,-0.13015362388675172,2.093024054408263,-3.015716605214178,0.007109814089793564,-0.6743347330133798,False,,
8192,pyramidkv,0.2,full,20,6.405972499999999,6.1526262,0.2533462999999998,0.2810980559046592,0.1217883602199902,0.3849042397800094,2.093024054408263,4.030618759172036,0.0007144364599906077,0.9012737536894526,False,,
8192,pyramidkv,0.2,snapkv,20,6.405972499999999,6.3150167999999995,0.09095569999999975,0.08400226544946345,0.05164142959774145,0.13026997040225805,2.093024054408263,4.842324836189907,0.0001131705151306606,1.0827767502856165,False,,
8192,pyramidkv,0.2,sink_window,20,6.405972499999999,6.531760449999998,-0.12578795000000004,0.35999615610074676,-0.2942713373109401,0.04269543731094,2.093024054408263,-1.5626300569255513,0.13464235544082565,-0.34941470309698985,False,,
